ts, snap_count, snap_bytes, snap_avg_ex_recv_ms, snap_avg_recv_write_ms, snap_max_ex_recv_ms, snap_max_recv_write_ms, trade_count, trade_bytes, trade_avg_ex_recv_ms, trade_avg_recv_write_ms, trade_max_ex_recv_ms, trade_max_recv_write_ms
1761505045, 8340, 362176, 0, 17, 0, 319, 873, 78845, 0, 0, 0, 0
1761505046, 4031, 198957, 0, 1, 0, 34, 680, 58601, 0, 0, 0, 0
1761505047, 3053, 162317, 0, 2, 0, 53, 374, 32135, 0, 0, 0, 0
1761505048, 7125, 234765, 0, 2, 0, 86, 2795, 168288, 0, 0, 0, 0
1761505049, 7808, 341585, 0, 23, 0, 340, 1303, 184243, 0, 0, 0, 0
1761505050, 5838, 220380, 0, 5, 0, 108, 1618, 139453, 0, 0, 0, 0
1761505051, 3851, 215592, 0, 9, 0, 177, 634, 54188, 0, 0, 0, 0
1761505052, 2688, 101774, 0, 1, 0, 25, 370, 31610, 0, 0, 0, 0
1761505053, 3054, 132712, 0, 1, 0, 40, 526, 44883, 0, 0, 0, 0
1761505054, 3719, 167782, 0, 1, 0, 48, 592, 50906, 0, 0, 0, 0
1761505055, 3574, 182695, 0, 1, 0, 27, 330, 28295, 0, 0, 0, 0
1761505056, 3169, 173308, 0, 1, 0, 29, 212, 18295, 0, 0, 0, 0
1761505057, 2942, 143700, 0, 1, 0, 38, 618, 53144, 0, 0, 0, 0
1761505058, 2084, 90835, 0, 2, 0, 42, 200, 17199, 0, 0, 0, 0
1761505059, 4246, 201191, 0, 1, 0, 34, 534, 46488, 0, 0, 0, 0
1761505060, 2804, 149864, 0, 3, 0, 61, 251, 21515, 0, 0, 0, 0
1761505061, 3280, 167794, 0, 1, 0, 25, 345, 29544, 0, 0, 0, 0
1761505062, 2329, 98958, 0, 1, 0, 40, 660, 57527, 0, 0, 0, 0
1761505063, 4093, 204194, 0, 6, 0, 98, 626, 53797, 0, 0, 0, 0
1761505064, 2234, 108481, 0, 2, 0, 32, 248, 21368, 0, 0, 0, 0
1761505065, 2362, 118653, 0, 1, 0, 29, 406, 35249, 0, 0, 0, 0
1761505066, 2180, 103877, 0, 2, 0, 44, 320, 27482, 0, 0, 0, 0
1761505067, 2455, 118330, 0, 2, 0, 39, 256, 22052, 0, 0, 0, 0
1761505068, 2363, 116483, 0, 2, 0, 33, 312, 26922, 0, 0, 0, 0
1761505069, 2963, 136537, 0, 1, 0, 42, 504, 43415, 0, 0, 0, 0
1761505070, 1207, 60360, 0, 0, 0, 12, 174, 14929, 0, 0, 0, 0
1761505071, 2995, 135928, 0, 1, 0, 40, 384, 32830, 0, 0, 0, 0
1761505072, 2888, 147005, 0, 1, 0, 27, 454, 39009, 0, 0, 0, 0
1761505073, 1345, 67332, 0, 0, 0, 8, 196, 16788, 0, 0, 0, 0
1761505074, 1684, 71420, 0, 0, 0, 22, 544, 47756, 0, 0, 0, 0
1761505075, 2192, 106992, 0, 0, 0, 15, 366, 31744, 0, 0, 0, 0
1761505076, 1992, 82891, 0, 0, 0, 8, 466, 39654, 0, 0, 0, 0
1761505077, 2526, 132548, 0, 1, 0, 24, 346, 29622, 0, 0, 0, 0
1761505078, 2805, 129114, 0, 1, 0, 32, 488, 41978, 0, 0, 0, 0
1761505079, 2202, 107409, 0, 0, 0, 16, 456, 38935, 0, 0, 0, 0
1761505080, 3688, 187832, 0, 1, 0, 29, 524, 45016, 0, 0, 0, 0
1761505081, 4037, 188702, 0, 1, 0, 37, 648, 55524, 0, 0, 0, 0
1761505082, 4194, 178926, 0, 1, 0, 26, 1718, 149888, 0, 0, 0, 0
1761505083, 4228, 204091, 0, 3, 0, 57, 634, 54752, 0, 0, 0, 0
1761505084, 4535, 222306, 0, 3, 0, 55, 612, 52372, 0, 0, 0, 0
1761505085, 2781, 148500, 0, 1, 0, 38, 412, 35078, 0, 0, 0, 0
1761505086, 2564, 127354, 0, 1, 0, 30, 360, 30846, 0, 0, 0, 0
1761505087, 2428, 121420, 0, 0, 0, 19, 782, 67535, 0, 0, 0, 0
1761505088, 6902, 325832, 0, 8, 0, 155, 452, 38533, 0, 0, 0, 0
1761505089, 3369, 182081, 0, 1, 0, 49, 699, 59569, 0, 0, 0, 0
1761505090, 3709, 210660, 0, 3, 0, 102, 925, 79726, 0, 0, 0, 0
1761505091, 7068, 289623, 0, 9, 0, 225, 4531, 302559, 0, 0, 0, 0
1761505092, 5899, 219583, 0, 3, 0, 108, 3030, 352704, 0, 0, 0, 0
1761505093, 4951, 182938, 0, 1, 0, 36, 1349, 116917, 0, 0, 0, 0
1761505094, 4778, 232901, 0, 3, 0, 74, 244, 20800, 0, 0, 0, 0
1761505095, 4545, 216483, 0, 2, 0, 47, 426, 36483, 0, 0, 0, 0
1761505096, 5342, 212104, 0, 2, 0, 86, 670, 56979, 0, 0, 0, 0
1761505097, 4552, 212986, 0, 2, 0, 45, 346, 29746, 0, 0, 0, 0
1761505098, 4858, 203570, 0, 3, 0, 68, 448, 38382, 0, 0, 0, 0
1761505099, 2513, 125210, 0, 2, 0, 71, 228, 19568, 0, 0, 0, 0
1761505100, 3510, 166940, 0, 1, 0, 39, 438, 37848, 0, 0, 0, 0
1761505101, 3485, 174575, 0, 1, 0, 29, 306, 26481, 0, 0, 0, 0
1761505102, 4832, 222985, 0, 4, 0, 90, 598, 51204, 0, 0, 0, 0
1761505103, 3540, 205636, 0, 6, 0, 79, 194, 16632, 0, 0, 0, 0
1761505104, 3828, 192810, 0, 7, 0, 134, 288, 24808, 0, 0, 0, 0
1761505105, 1854, 93587, 0, 0, 0, 20, 248, 21349, 0, 0, 0, 0
1761505106, 1915, 85190, 0, 2, 0, 40, 266, 22846, 0, 0, 0, 0
1761505107, 3483, 169840, 0, 0, 0, 27, 490, 42244, 0, 0, 0, 0
1761505108, 2121, 92349, 0, 0, 0, 11, 294, 25201, 0, 0, 0, 0
1761505109, 1952, 91443, 0, 0, 0, 34, 278, 24215, 0, 0, 0, 0
1761505110, 2020, 98670, 0, 2, 0, 49, 476, 40660, 0, 0, 0, 0
1761505111, 1933, 83714, 0, 0, 0, 18, 230, 19744, 0, 0, 0, 0
1761505112, 5770, 265221, 0, 10, 0, 145, 1598, 139151, 0, 0, 0, 0
1761505113, 3728, 198506, 0, 2, 0, 39, 303, 26050, 0, 0, 0, 0
1761505114, 1600, 84896, 0, 2, 0, 31, 269, 23148, 0, 0, 0, 0
1761505115, 2621, 134891, 0, 2, 0, 47, 644, 54870, 0, 0, 0, 0
1761505116, 2397, 123456, 0, 0, 0, 23, 414, 35367, 0, 0, 0, 0
1761505117, 2563, 135605, 0, 1, 0, 43, 466, 39929, 0, 0, 0, 0
1761505118, 2528, 120360, 0, 1, 0, 49, 347, 29590, 0, 0, 0, 0
1761505119, 3278, 161032, 0, 0, 0, 17, 517, 44580, 0, 0, 0, 0
1761505120, 4791, 225904, 0, 6, 0, 114, 1837, 117289, 0, 0, 0, 0
1761505121, 7564, 94363, 0, 10, 0, 968, 1222, 43606, 0, 0, 0, 0
1761505122, 3521, 60277, 0, 76, 0, 1879, 449, 38354, 0, 0, 0, 0
1761505123, 1892, 68199, 0, 348, 0, 2735, 445, 47575, 0, 0, 0, 0
1761505124, 3080, 75747, 0, 271, 0, 3704, 849, 46837, 0, 0, 0, 0
1761505125, 2590, 67240, 0, 364, 0, 4523, 575, 44394, 0, 0, 0, 0
1761505126, 2926, 73438, 0, 423, 0, 5400, 599, 46807, 0, 0, 0, 0
1761505127, 2800, 76320, 0, 564, 0, 6313, 480, 46034, 0, 0, 0, 0
1761505128, 2412, 68632, 0, 679, 0, 7163, 570, 46411, 0, 0, 0, 0
1761505129, 2648, 69189, 0, 777, 0, 8161, 660, 49489, 0, 0, 0, 0
1761505130, 1956, 57574, 0, 986, 0, 9153, 478, 42437, 0, 0, 0, 0
1761505131, 2436, 60502, 0, 790, 0, 9958, 458, 43382, 0, 0, 0, 0
1761505132, 4510, 79515, 0, 483, 0, 10932, 690, 43592, 0, 0, 0, 0
1761505133, 2704, 75896, 0, 1023, 0, 11844, 658, 54894, 0, 0, 0, 0
1761505134, 2424, 66756, 0, 1040, 0, 12566, 649, 52018, 0, 0, 0, 0
1761505135, 3178, 69118, 0, 806, 0, 13554, 487, 48160, 0, 0, 0, 0
1761505136, 2968, 67250, 0, 1024, 0, 14559, 446, 45246, 0, 0, 0, 0
1761505137, 2612, 63436, 0, 1075, 0, 15548, 464, 38676, 0, 0, 0, 0
1761505138, 2836, 68826, 0, 1096, 0, 16265, 593, 46758, 0, 0, 0, 0
1761505139, 2055, 67047, 0, 1751, 0, 17087, 495, 42453, 0, 0, 0, 0
1761505140, 3129, 73429, 0, 1168, 0, 18020, 490, 46897, 0, 0, 0, 0
1761505141, 4229, 80917, 0, 909, 0, 18697, 1586, 57070, 0, 0, 0, 0
1761505142, 4753, 87764, 0, 899, 0, 19160, 812, 51699, 0, 0, 0, 0
1761505143, 4714, 86466, 0, 938, 0, 20046, 628, 46260, 0, 0, 0, 0
1761505144, 3277, 68599, 0, 1222, 0, 20860, 532, 44857, 0, 0, 0, 0
1761505145, 3124, 73589, 0, 1515, 0, 21565, 413, 42763, 0, 0, 0, 0
1761505146, 2841, 71194, 0, 1753, 0, 22493, 405, 42198, 0, 0, 0, 0
1761505147, 3220, 82242, 0, 1833, 0, 23148, 510, 48412, 0, 0, 0, 0
1761505148, 3234, 73345, 0, 1583, 0, 24050, 589, 46067, 0, 0, 0, 0
1761505149, 3191, 68020, 0, 1460, 0, 24890, 439, 39791, 0, 0, 0, 0
1761505150, 2692, 70367, 0, 2061, 0, 25574, 533, 43569, 0, 0, 0, 0
1761505151, 3003, 76535, 0, 2034, 0, 26275, 417, 45878, 0, 0, 0, 0
1761505152, 2940, 74034, 0, 2013, 0, 27099, 479, 45315, 0, 0, 0, 0
1761505153, 3018, 70606, 0, 1868, 0, 27963, 575, 46747, 0, 0, 0, 0
1761505154, 2593, 71396, 0, 2457, 0, 28862, 532, 44076, 0, 0, 0, 0
1761505155, 1718, 60904, 0, 3615, 0, 29582, 352, 40077, 0, 0, 0, 0
1761505156, 1818, 60173, 0, 3379, 0, 30063, 394, 43572, 0, 0, 0, 0
1761505157, 3289, 75351, 0, 2057, 0, 30718, 609, 48065, 0, 0, 0, 0
1761505158, 2474, 65500, 0, 2583, 0, 31506, 408, 39757, 0, 0, 0, 0
1761505159, 2054, 68095, 0, 3599, 0, 32144, 453, 47323, 0, 0, 0, 0
1761505160, 4388, 83084, 0, 1641, 0, 33103, 1174, 53713, 0, 0, 0, 0
1761505161, 4013, 81220, 0, 1860, 0, 33855, 726, 46400, 0, 0, 0, 0
1761505162, 4310, 88974, 0, 1950, 0, 34502, 503, 48198, 0, 0, 0, 0
1761505163, 3680, 77884, 0, 2023, 0, 35450, 858, 53623, 0, 0, 0, 0
1761505164, 2399, 69273, 0, 3320, 0, 36305, 553, 55656, 0, 0, 0, 0
1761505165, 1924, 57774, 0, 3598, 0, 36730, 424, 46174, 0, 0, 0, 0
1761505166, 1690, 60829, 0, 4669, 0, 37476, 390, 41036, 0, 0, 0, 0
1761505167, 1895, 60799, 0, 4166, 0, 38401, 472, 41921, 0, 0, 0, 0
1761505168, 2017, 70040, 0, 4743, 0, 39069, 525, 48791, 0, 0, 0, 0
1761505169, 2069, 70475, 0, 4634, 0, 39364, 467, 45519, 0, 0, 0, 0
1761505170, 2492, 68288, 0, 3607, 0, 40095, 614, 50214, 0, 0, 0, 0
1761505171, 2199, 63095, 0, 4021, 0, 40927, 437, 42819, 0, 0, 0, 0
1761505172, 2087, 70984, 0, 5070, 0, 41578, 467, 42908, 0, 0, 0, 0
1761505173, 2504, 77746, 0, 4598, 0, 42470, 355, 39914, 0, 0, 0, 0
1761505174, 2453, 77813, 0, 4747, 0, 43194, 569, 45404, 0, 0, 0, 0
1761505175, 1804, 76224, 0, 6859, 0, 43916, 338, 39844, 0, 0, 0, 0
1761505176, 2123, 70418, 0, 5166, 0, 44768, 455, 41437, 0, 0, 0, 0
1761505177, 1749, 72831, 0, 6838, 0, 45626, 439, 39455, 0, 0, 0, 0
1761505178, 2802, 75712, 0, 4341, 0, 46499, 469, 41555, 0, 0, 0, 0
1761505179, 2740, 77756, 0, 4287, 0, 47345, 385, 41339, 0, 0, 0, 0
1761505180, 2602, 75663, 0, 5207, 0, 48320, 415, 45602, 0, 0, 0, 0
1761505181, 2315, 70795, 0, 5793, 0, 49128, 396, 42294, 0, 0, 0, 0
1761505182, 2134, 73632, 0, 6636, 0, 49803, 429, 47440, 0, 0, 0, 0
1761505183, 1709, 63557, 0, 7805, 0, 50623, 404, 41590, 0, 0, 0, 0
1761505184, 2173, 74392, 0, 7372, 0, 51002, 659, 56394, 0, 0, 0, 0
1761505185, 1901, 63174, 0, 7453, 0, 51563, 409, 48714, 0, 0, 0, 0
1761505186, 1765, 69637, 0, 8670, 0, 52459, 556, 53235, 0, 0, 0, 0
1761505187, 3063, 74874, 0, 3984, 0, 53176, 691, 47563, 0, 0, 0, 0
1761505188, 2247, 72712, 0, 6768, 0, 53731, 553, 53746, 0, 0, 0, 0
1761505189, 2031, 73498, 0, 8727, 0, 54409, 506, 45867, 0, 0, 0, 0
1761505190, 1952, 61547, 0, 6587, 0, 54964, 454, 43091, 0, 0, 0, 0
1761505191, 1932, 76535, 0, 9868, 0, 55557, 464, 50401, 0, 0, 0, 0
1761505192, 2270, 72614, 0, 7551, 0, 56316, 671, 53141, 0, 0, 0, 0
1761505193, 2760, 71276, 0, 4982, 0, 56941, 483, 47486, 0, 0, 0, 0
1761505194, 2696, 80863, 0, 6134, 0, 57715, 533, 49452, 0, 0, 0, 0
1761505195, 2340, 68809, 0, 6478, 0, 58228, 341, 35271, 0, 0, 0, 0
